Name,M,Runs,Avg,SR,100,50,4s,6s,Wkts,Econ,5W,10W,Type,Image,Score_x,Score_y,Score
Navdeep Saini,30,33,8.25,89.19,0,0,3,0,20,8.68,0,0,Bowler,https://www.cricbuzz.com/a/img/v1/152x152/i1/c226400/navdeep-saini.jpg,420.0,280.0,12.930577636459988
Alzarri Joseph,12,20,20.0,100.0,0,0,2,0,13,9.08,1,0,Bowler,https://www.cricbuzz.com/a/img/v1/152x152/i1/c244661/alzarri-joseph.jpg,270.0,330.0,10.545839957604663
Mustafizur Rahman,46,12,12.0,54.55,0,0,0,1,46,7.8,0,0,Bowler,https://www.cricbuzz.com/a/img/v1/152x152/i1/c244924/mustafizur-rahman.jpg,930.0,1970.0,50.609432962374136
Jayant Yadav,19,40,10.0,111.11,0,0,2,1,8,6.87,0,0,Bowler,https://www.cricbuzz.com/a/img/v1/152x152/i1/c226388/jayant-yadav.jpg,180.0,0.0,3.391626921038686
Tim Southee,52,120,9.23,112.15,0,0,8,4,45,8.53,0,0,Bowler,https://www.cricbuzz.com/a/img/v1/152x152/i1/c244824/tim-southee.jpg,920.0,2700.0,62.00317965023847
Kamlesh Nagarkoti,12,22,5.5,66.67,0,0,1,0,5,9.5,0,0,Bowler,https://www.cricbuzz.com/a/img/v1/152x152/i1/c226313/kamlesh-nagarkoti.jpg,120.0,0.0,2.1197668256491786
Kyle Jamieson,9,65,16.25,118.18,0,0,5,3,9,9.61,0,0,Bowler,https://www.cricbuzz.com/a/img/v1/152x152/i1/c156101/kyle-jamieson.jpg,190.0,80.0,4.87546369899311
Odean Smith,6,51,17.0,115.91,0,0,1,5,6,11.87,0,0,Bowler,https://www.cricbuzz.com/a/img/v1/152x152/i1/c244724/odean-smith.jpg,120.0,490.0,9.90990990990991
Jaydev Unadkat,91,164,13.67,123.31,0,0,13,6,91,8.79,2,0,Bowler,https://www.cricbuzz.com/a/img/v1/152x152/i1/c169793/jaydev-unadkat.jpg,1850.0,300.0,43.56120826709062
Ishant Sharma,93,55,9.17,90.16,0,0,4,2,72,8.12,1,0,Bowler,https://www.cricbuzz.com/a/img/v1/152x152/i1/c154520/ishant-sharma.jpg,1470.0,180.0,33.59830418653948
Mayank Markande,20,27,9.0,93.1,0,0,3,0,17,8.5,0,0,Bowler,https://www.cricbuzz.com/a/img/v1/152x152/i1/c226510/mayank-markande.jpg,360.0,20.0,7.525172231054585
Romario Shepherd,3,58,29.0,141.46,0,0,2,5,3,10.89,0,0,Bowler,https://www.cricbuzz.com/a/img/v1/152x152/i1/c226370/romario-shepherd.jpg,50.0,400.0,6.995230524642289
Amit Mishra,154,362,11.68,93.06,0,0,29,5,166,7.35,1,0,Bowler,https://www.cricbuzz.com/a/img/v1/152x152/i1/c153362/amit-mishra.jpg,3340.0,350.0,75.94064652888183
Mohit Sharma,86,122,8.13,104.27,0,0,8,4,92,8.45,0,0,Bowler,https://www.cricbuzz.com/a/img/v1/152x152/i1/c192642/mohit-sharma.jpg,1860.0,140.0,41.229464758876524
K.C Cariappa,11,24,8.0,114.29,0,0,0,2,8,9.67,0,0,Bowler,https://www.cricbuzz.com/a/img/v1/152x152/i1/c226502/kc-cariappa.jpg,180.0,0.0,3.391626921038686
